,method,REMOVING_DUPLICATE_PRECONDITIONS_(VIA_SMT)_LOC,REMOVING_DUPLICATE_PRECONDITIONS_(VIA_SMT)_TS,REMOVING_IMPOSSIBLE_SPECIFICATION_CASES_(VIA_SMT)_LOC,REMOVING_IMPOSSIBLE_SPECIFICATION_CASES_(VIA_SMT)_TS,PERFORMING_LEXICAL_SUBSTITUTIONS_LOC,PERFORMING_LEXICAL_SUBSTITUTIONS_TS,PERFORMING_LEXICAL_SUBSTITUTIONS_II_LOC,PERFORMING_LEXICAL_SUBSTITUTIONS_II_TS,REMOVING_TAUTOLOGIES_OF_LOC,REMOVING_TAUTOLOGIES_OF_TS,REMOVING_CONTRADICTIONS_OF_LOC,REMOVING_CONTRADICTIONS_OF_TS,PRUNING_USELESS_CLAUSES_OF_LOC,PRUNING_USELESS_CLAUSES_OF_TS,REMOVING_DEAD_ASSIGNMENTS_OF_LOC,REMOVING_DEAD_ASSIGNMENTS_OF_TS,PERFORMING_OPTIMIZED_PREMAP_BLOCK_SUBSTITUTIONS_LOC,PERFORMING_OPTIMIZED_PREMAP_BLOCK_SUBSTITUTIONS_TS,PERFORMING_ALL_PREMAP_BLOCK_SUBSTITUTIONS_LOC,PERFORMING_ALL_PREMAP_BLOCK_SUBSTITUTIONS_TS,REMOVING_LOCALS_OF_LOC,REMOVING_LOCALS_OF_TS,REMOVING_SPEC_PUBLIC_OF_LOC,REMOVING_SPEC_PUBLIC_OF_TS,DOING_BACKWARDS_PROPAGATION_OF_LOC,DOING_BACKWARDS_PROPAGATION_OF_TS,SIMPLIFYING_LABELS_OF_LOC,SIMPLIFYING_LABELS_OF_TS,REMOVING_DUPLICATE_ASSIGNMENTS_OF_LOC,REMOVING_DUPLICATE_ASSIGNMENTS_OF_TS,FIXING_RESULTS_LOC,FIXING_RESULTS_TS,CLEANING_PRESTATE_ASSIGNABLES_LOC,CLEANING_PRESTATE_ASSIGNABLES_TS,REMOVING_USELESS_POSTCONDITIONS_LOC,REMOVING_USELESS_POSTCONDITIONS_TS,PRUNING_USELESS_CLAUSES_II_OF_LOC,PRUNING_USELESS_CLAUSES_II_OF_TS,ADDING_PURITY_LOC,ADDING_PURITY_TS,REDUCTION_ANALYSIS_LOC,REDUCTION_ANALYSIS_TS
0,org.json.CDL.CDL(),-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,"org.json.CDL.rowToJSONObject(org.json.JSONArray,org.json.JSONTokener)",-1,-1,-1,-1,364,163,364,163,364,1,364,1,364,3,364,107,364,159,364,0,329,3,281,0,281,1,281,1,185,5,185,5,151,1,151,1,151,0,151,1,73,111
2,org.json.CDL.toJSONArray(java.lang.String),-1,-1,-1,-1,577,148,577,148,577,1,577,1,577,1,577,58,577,160,577,0,512,3,512,1,512,2,512,1,252,3,252,9,220,1,220,0,220,1,220,0,98,39
3,org.json.CDL.toJSONArray(org.json.JSONTokener),-1,-1,-1,-1,49,8,49,8,49,0,49,0,49,0,49,32,49,11,49,0,44,0,44,0,44,0,44,0,34,1,34,0,26,0,26,0,26,0,26,0,18,2
4,"org.json.CDL.toJSONArray(org.json.JSONArray,org.json.JSONTokener)",-1,-1,-1,-1,1282,376,1282,376,1245,3,531,2,441,1,441,111,441,580,441,0,366,5,366,1,366,2,366,1,246,5,242,29,185,2,185,0,185,1,185,1,90,14
5,org.json.JSONTokener.JSONTokener(java.io.Reader),-1,-1,-1,-1,284,37,284,37,267,1,124,1,114,0,114,51,114,60,114,1,109,0,109,2,109,1,109,0,64,3,62,4,60,0,60,0,56,0,56,0,38,5
6,org.json.JSONTokener.JSONTokener(java.io.InputStream),-1,-1,-1,-1,353,49,353,49,353,0,353,1,353,0,353,54,353,53,353,0,320,1,320,0,320,1,320,1,248,1,248,2,232,1,4,0,4,0,4,0,-1,-1
7,org.json.JSONTokener.JSONTokener(java.lang.String),-1,-1,-1,-1,157,24,157,24,157,0,157,1,157,0,157,48,157,28,157,0,144,1,144,1,144,0,144,0,92,1,92,2,86,0,4,0,4,1,4,0,-1,-1
8,org.json.JSONTokener.back(),-1,-1,-1,-1,55,6,55,6,54,0,40,1,40,0,40,43,40,6,40,0,36,1,36,0,36,1,36,0,24,0,24,1,22,0,17,0,17,0,17,0,16,1
9,org.json.JSONTokener.dehexchar(char),227,2,146,2940,146,14,227,14,227,1,227,1,227,0,227,13,227,18,227,0,204,1,204,0,204,0,204,0,197,1,197,3,197,1,197,0,197,1,197,0,87,9
