,method,loc,cfg_depth,inferred,skipped,refused,time,error,timeout,initial_contract_loc,final_contract_loc
0,"org.apache.commons.csv.Assertions.notNull(java.lang.Object,java.lang.String)",5,335,False,False,True,38,False,False,-1,-1
1,org.apache.commons.csv.Constants.Constants(),3,303,False,False,True,74,False,False,-1,-1
2,org.apache.commons.csv.CSVFormat.Predefined.Predefined(org.apache.commons.csv.CSVFormat),4,33,True,False,False,1788,False,False,19,8
3,org.apache.commons.csv.CSVFormat.Predefined.getFormat(),3,35,True,False,False,152,False,False,6,4
4,org.apache.commons.csv.CSVFormat.isLineBreak(char),3,287,True,False,False,1190,False,False,13,10
5,org.apache.commons.csv.CSVFormat.isLineBreak(java.lang.Character),3,402,False,False,True,111,False,False,-1,-1
6,org.apache.commons.csv.CSVFormat.newFormat(char),3,658,False,False,True,194,False,False,-1,-1
7,org.apache.commons.csv.CSVFormat.valueOf(java.lang.String),3,378,False,False,True,214,False,False,-1,-1
8,"org.apache.commons.csv.CSVFormat.CSVFormat(char,java.lang.Character,org.apache.commons.csv.QuoteMode,java.lang.Character,java.lang.Character,boolean,boolean,java.lang.String,java.lang.String,java.lang.Object[],java.lang.String[],boolean,boolean,boolean,boolean,boolean)",20,1650,False,False,True,917,False,False,-1,-1
9,org.apache.commons.csv.CSVFormat.equals(java.lang.Object),67,1306,False,False,True,122,False,False,-1,-1
10,org.apache.commons.csv.CSVFormat.format(java.lang.Object...),11,740,False,False,True,103,False,False,-1,-1
11,org.apache.commons.csv.CSVFormat.getAllowMissingColumnNames(),3,404,False,False,True,82,False,False,-1,-1
12,org.apache.commons.csv.CSVFormat.getCommentMarker(),3,407,False,False,True,73,False,False,-1,-1
13,org.apache.commons.csv.CSVFormat.getDelimiter(),3,404,False,False,True,77,False,False,-1,-1
14,org.apache.commons.csv.CSVFormat.getEscapeCharacter(),3,407,False,False,True,71,False,False,-1,-1
15,org.apache.commons.csv.CSVFormat.getHeader(),3,532,False,False,True,84,False,False,-1,-1
16,org.apache.commons.csv.CSVFormat.getHeaderComments(),3,532,False,False,True,74,False,False,-1,-1
17,org.apache.commons.csv.CSVFormat.getIgnoreEmptyLines(),3,404,False,False,True,70,False,False,-1,-1
18,org.apache.commons.csv.CSVFormat.getIgnoreHeaderCase(),3,404,False,False,True,76,False,False,-1,-1
19,org.apache.commons.csv.CSVFormat.getIgnoreSurroundingSpaces(),3,404,False,False,True,81,False,False,-1,-1
20,org.apache.commons.csv.CSVFormat.getNullString(),3,410,False,False,True,72,False,False,-1,-1
21,org.apache.commons.csv.CSVFormat.getQuoteCharacter(),3,407,False,False,True,79,False,False,-1,-1
22,org.apache.commons.csv.CSVFormat.getQuoteMode(),3,407,False,False,True,81,False,False,-1,-1
23,org.apache.commons.csv.CSVFormat.getRecordSeparator(),3,410,False,False,True,75,False,False,-1,-1
24,org.apache.commons.csv.CSVFormat.getSkipHeaderRecord(),3,404,False,False,True,89,False,False,-1,-1
25,org.apache.commons.csv.CSVFormat.getTrailingDelimiter(),3,404,False,False,True,106,False,False,-1,-1
26,org.apache.commons.csv.CSVFormat.getTrim(),3,404,False,False,True,91,False,False,-1,-1
27,org.apache.commons.csv.CSVFormat.hashCode(),17,940,False,False,True,2993,False,False,-1,-1
28,org.apache.commons.csv.CSVFormat.isCommentMarkerSet(),3,404,False,False,True,73,False,False,-1,-1
29,org.apache.commons.csv.CSVFormat.isEscapeCharacterSet(),3,404,False,False,True,72,False,False,-1,-1
30,org.apache.commons.csv.CSVFormat.isNullStringSet(),3,404,False,False,True,72,False,False,-1,-1
31,org.apache.commons.csv.CSVFormat.isQuoteCharacterSet(),3,404,False,False,True,77,False,False,-1,-1
32,org.apache.commons.csv.CSVFormat.parse(java.io.Reader),3,445,False,False,True,82,False,False,-1,-1
33,org.apache.commons.csv.CSVFormat.print(java.lang.Appendable),3,457,False,False,True,93,False,False,-1,-1
34,"org.apache.commons.csv.CSVFormat.print(java.lang.Object,java.lang.Appendable,boolean)",11,611,False,False,True,96,False,False,-1,-1
35,"org.apache.commons.csv.CSVFormat.print(java.lang.Object,java.lang.CharSequence,int,int,java.lang.Appendable,boolean)",14,737,False,False,True,114,False,False,-1,-1
36,"org.apache.commons.csv.CSVFormat.printAndEscape(java.lang.CharSequence,int,int,java.lang.Appendable)",27,772,False,False,True,105,False,False,-1,-1
37,"org.apache.commons.csv.CSVFormat.printAndQuote(java.lang.Object,java.lang.CharSequence,int,int,java.lang.Appendable,boolean)",80,1308,False,False,True,133,False,False,-1,-1
38,org.apache.commons.csv.CSVFormat.println(java.lang.Appendable),8,507,False,False,True,81,False,False,-1,-1
39,"org.apache.commons.csv.CSVFormat.printRecord(java.lang.Appendable,java.lang.Object...)",6,490,False,False,True,80,False,False,-1,-1
40,org.apache.commons.csv.CSVFormat.toString(),44,1955,False,False,True,172,False,False,-1,-1
41,org.apache.commons.csv.CSVFormat.toStringArray(java.lang.Object[]),13,460,False,False,True,89,False,False,-1,-1
42,org.apache.commons.csv.CSVFormat.trim(java.lang.CharSequence),17,797,False,False,True,113,False,False,-1,-1
43,org.apache.commons.csv.CSVFormat.validate(),33,3701,False,False,True,321,False,False,-1,-1
44,org.apache.commons.csv.CSVFormat.withAllowMissingColumnNames(),3,1429,False,False,True,145,False,False,-1,-1
45,org.apache.commons.csv.CSVFormat.withAllowMissingColumnNames(boolean),3,1306,False,False,True,146,False,False,-1,-1
46,org.apache.commons.csv.CSVFormat.withCommentMarker(char),3,1449,False,False,True,271,False,False,-1,-1
47,org.apache.commons.csv.CSVFormat.withCommentMarker(java.lang.Character),6,1425,False,False,True,469,False,False,-1,-1
48,org.apache.commons.csv.CSVFormat.withDelimiter(char),6,1386,False,False,True,139,False,False,-1,-1
49,org.apache.commons.csv.CSVFormat.withEscape(char),3,1455,False,False,True,143,False,False,-1,-1
50,org.apache.commons.csv.CSVFormat.withEscape(java.lang.Character),6,1425,False,False,True,152,False,False,-1,-1
51,org.apache.commons.csv.CSVFormat.withFirstRecordAsHeader(),3,1950,False,False,True,219,False,False,-1,-1
52,org.apache.commons.csv.CSVFormat.withHeader(java.lang.Class<? extends java.lang.Enum<?>>),13,1504,False,False,True,155,False,False,-1,-1
53,org.apache.commons.csv.CSVFormat.withHeader(java.sql.ResultSet),3,1464,False,False,True,161,False,False,-1,-1
54,org.apache.commons.csv.CSVFormat.withHeader(java.sql.ResultSetMetaData),12,1498,False,False,True,146,False,False,-1,-1
55,org.apache.commons.csv.CSVFormat.withHeader(java.lang.String...),3,1312,False,False,True,138,False,False,-1,-1
56,org.apache.commons.csv.CSVFormat.withHeaderComments(java.lang.Object...),3,1312,False,False,True,132,False,False,-1,-1
57,org.apache.commons.csv.CSVFormat.withIgnoreEmptyLines(),3,1429,False,False,True,148,False,False,-1,-1
58,org.apache.commons.csv.CSVFormat.withIgnoreEmptyLines(boolean),3,1306,False,False,True,128,False,False,-1,-1
59,org.apache.commons.csv.CSVFormat.withIgnoreHeaderCase(),3,1429,False,False,True,158,False,False,-1,-1
60,org.apache.commons.csv.CSVFormat.withIgnoreHeaderCase(boolean),3,1306,False,False,True,136,False,False,-1,-1
61,org.apache.commons.csv.CSVFormat.withIgnoreSurroundingSpaces(),3,1429,False,False,True,149,False,False,-1,-1
62,org.apache.commons.csv.CSVFormat.withIgnoreSurroundingSpaces(boolean),3,1306,False,False,True,133,False,False,-1,-1
63,org.apache.commons.csv.CSVFormat.withNullString(java.lang.String),3,1339,False,False,True,137,False,False,-1,-1
64,org.apache.commons.csv.CSVFormat.withQuote(char),3,1431,False,False,True,156,False,False,-1,-1
65,org.apache.commons.csv.CSVFormat.withQuote(java.lang.Character),6,1413,False,False,True,262,False,False,-1,-1
66,org.apache.commons.csv.CSVFormat.withQuoteMode(org.apache.commons.csv.QuoteMode),3,1300,False,False,True,140,False,False,-1,-1
67,org.apache.commons.csv.CSVFormat.withRecordSeparator(char),3,1473,False,False,True,140,False,False,-1,-1
68,org.apache.commons.csv.CSVFormat.withRecordSeparator(java.lang.String),3,1327,False,False,True,128,False,False,-1,-1
69,org.apache.commons.csv.CSVFormat.withSkipHeaderRecord(),3,1405,False,False,True,140,False,False,-1,-1
70,org.apache.commons.csv.CSVFormat.withSkipHeaderRecord(boolean),3,1294,False,False,True,124,False,False,-1,-1
71,org.apache.commons.csv.CSVFormat.withTrailingDelimiter(),3,1405,False,False,True,134,False,False,-1,-1
72,org.apache.commons.csv.CSVFormat.withTrailingDelimiter(boolean),3,1294,False,False,True,131,False,False,-1,-1
73,org.apache.commons.csv.CSVFormat.withTrim(),3,1405,False,False,True,146,False,False,-1,-1
74,org.apache.commons.csv.CSVFormat.withTrim(boolean),3,1294,False,False,True,122,False,False,-1,-1
75,org.apache.commons.csv.Token.reset(),5,96,True,False,False,115,False,False,13,9
76,org.apache.commons.csv.Token.toString(),3,573,False,False,True,22,False,False,-1,-1
77,"org.apache.commons.csv.CSVParser.parse(java.io.File,java.nio.charset.Charset,org.apache.commons.csv.CSVFormat)",5,888,False,False,True,59,False,False,-1,-1
78,"org.apache.commons.csv.CSVParser.parse(java.lang.String,org.apache.commons.csv.CSVFormat)",5,232,True,False,False,55746,False,False,26113,5
79,"org.apache.commons.csv.CSVParser.parse(java.net.URL,java.nio.charset.Charset,org.apache.commons.csv.CSVFormat)",6,287,True,False,False,11713,False,False,8065,5
80,"org.apache.commons.csv.CSVParser.CSVParser(java.io.Reader,org.apache.commons.csv.CSVFormat)",3,93,True,False,False,210,False,False,129,5
81,"org.apache.commons.csv.CSVParser.CSVParser(java.io.Reader,org.apache.commons.csv.CSVFormat,long,long)",10,443,False,False,True,35,False,False,-1,-1
82,org.apache.commons.csv.CSVParser.addRecordValue(boolean),12,597,False,False,True,54,False,False,-1,-1
83,org.apache.commons.csv.CSVParser.getCurrentLineNumber(),3,82,True,False,False,164,False,False,7,5
84,org.apache.commons.csv.CSVParser.getHeaderMap(),3,79,True,False,False,156,False,False,21,5
85,org.apache.commons.csv.CSVParser.getRecordNumber(),3,62,True,False,False,115,False,False,6,4
86,org.apache.commons.csv.CSVParser.getRecords(),11,382,False,False,True,37,False,False,-1,-1
87,org.apache.commons.csv.CSVParser.initializeHeader(),36,973,False,False,True,70,False,False,-1,-1
88,org.apache.commons.csv.CSVParser.isClosed(),3,79,True,False,False,146,False,False,33,4
89,org.apache.commons.csv.CSVParser.1.getNextRecord(),8,180,True,False,False,328,False,False,9,5
90,org.apache.commons.csv.CSVParser.1.hasNext(),9,97,True,False,False,175,False,False,94,18
91,org.apache.commons.csv.CSVParser.1.next(),15,234,True,False,False,799,False,False,670,69
92,org.apache.commons.csv.CSVParser.1.remove(),3,79,True,False,False,125,False,False,265,4
93,org.apache.commons.csv.CSVParser.iterator(),149,79,True,False,False,126,False,False,6,4
94,org.apache.commons.csv.CSVParser.nextRecord(),51,1592,False,False,True,103,False,False,-1,-1
95,"org.apache.commons.csv.CSVRecord.CSVRecord(java.lang.String[],java.util.Map<java.lang.String,java.lang.Integer>,java.lang.String,long,long)",8,87,True,False,False,225,False,False,309,26
96,org.apache.commons.csv.CSVRecord.get(java.lang.Enum<?>),3,213,True,False,False,723,False,False,561,16
97,org.apache.commons.csv.CSVRecord.get(int),3,62,True,False,False,66,False,False,6,5
98,org.apache.commons.csv.CSVRecord.get(java.lang.String),16,577,False,False,True,29,False,False,-1,-1
99,org.apache.commons.csv.CSVRecord.getCharacterPosition(),3,50,True,False,False,44,False,False,6,4
100,org.apache.commons.csv.CSVRecord.getComment(),3,56,True,False,False,45,False,False,6,4
101,org.apache.commons.csv.CSVRecord.getRecordNumber(),3,50,True,False,False,39,False,False,6,4
102,org.apache.commons.csv.CSVRecord.isConsistent(),3,79,True,False,False,107,False,False,203,5
103,org.apache.commons.csv.CSVRecord.hasComment(),3,50,True,False,False,44,False,False,6,4
104,org.apache.commons.csv.CSVRecord.isMapped(java.lang.String),3,85,True,False,False,80,False,False,25,5
105,org.apache.commons.csv.CSVRecord.isSet(java.lang.String),3,167,True,False,False,262,False,False,126,4
106,org.apache.commons.csv.CSVRecord.iterator(),3,147,True,False,False,418,False,False,326,4
107,org.apache.commons.csv.CSVRecord.<M>putIn(M),13,252,True,False,False,364,False,False,22,12
108,org.apache.commons.csv.CSVRecord.size(),3,50,True,False,False,47,False,False,6,4
109,org.apache.commons.csv.CSVRecord.toList(),3,79,True,False,False,83,False,False,17,4
110,org.apache.commons.csv.CSVRecord.toMap(),3,129,True,False,False,299,False,False,385,5
111,org.apache.commons.csv.CSVRecord.toString(),3,1273,False,False,True,48,False,False,-1,-1
112,org.apache.commons.csv.CSVRecord.values(),3,53,True,False,False,42,False,False,6,4
113,"org.apache.commons.csv.CSVPrinter.CSVPrinter(java.lang.Appendable,org.apache.commons.csv.CSVFormat)",18,434,False,False,True,25,False,False,-1,-1
114,org.apache.commons.csv.CSVPrinter.close(),5,69,True,False,False,74,False,False,12,5
115,org.apache.commons.csv.CSVPrinter.flush(),5,69,True,False,False,71,False,False,12,5
116,org.apache.commons.csv.CSVPrinter.getOut(),3,35,True,False,False,41,False,False,6,4
117,org.apache.commons.csv.CSVPrinter.print(java.lang.Object),4,81,True,False,False,108,False,False,45,27
118,org.apache.commons.csv.CSVPrinter.printComment(java.lang.String),32,1123,False,False,True,57,False,False,-1,-1
119,org.apache.commons.csv.CSVPrinter.println(),4,72,True,False,False,86,False,False,19,12
120,org.apache.commons.csv.CSVPrinter.printRecord(java.lang.Iterable<?>),7,139,True,False,False,207,False,False,105,16
121,org.apache.commons.csv.CSVPrinter.printRecord(java.lang.Object...),4,81,True,False,False,112,False,False,45,27
122,org.apache.commons.csv.CSVPrinter.printRecords(java.lang.Iterable<?>),12,192,True,False,False,230,False,False,8,6
123,org.apache.commons.csv.CSVPrinter.printRecords(java.lang.Object...),12,192,True,False,False,280,False,False,7,5
124,org.apache.commons.csv.CSVPrinter.printRecords(java.sql.ResultSet),10,233,True,False,False,433,False,False,215,5
125,"org.apache.commons.csv.Lexer.Lexer(org.apache.commons.csv.CSVFormat,org.apache.commons.csv.ExtendedBufferedReader)",10,561,False,False,True,25,False,False,-1,-1
126,org.apache.commons.csv.Lexer.nextToken(org.apache.commons.csv.Token),54,844,False,False,True,34,False,False,-1,-1
127,"org.apache.commons.csv.Lexer.parseSimpleToken(org.apache.commons.csv.Token,int)",30,480,False,False,True,20,False,False,-1,-1
128,org.apache.commons.csv.Lexer.parseEncapsulatedToken(org.apache.commons.csv.Token),41,1661,False,False,True,70,False,False,-1,-1
129,org.apache.commons.csv.Lexer.mapNullToDisabled(java.lang.Character),3,418,False,False,True,13,False,False,-1,-1
130,org.apache.commons.csv.Lexer.getCurrentLineNumber(),3,61,True,False,False,56,False,False,9,5
131,org.apache.commons.csv.Lexer.getCharacterPosition(),3,61,True,False,False,59,False,False,9,5
132,org.apache.commons.csv.Lexer.readEscape(),40,180,True,False,False,948,False,False,1893,95
133,org.apache.commons.csv.Lexer.trimTrailingSpaces(java.lang.StringBuilder),10,634,False,False,True,30,False,False,-1,-1
134,org.apache.commons.csv.Lexer.readEndOfLine(int),6,102,True,False,False,137,False,False,89,17
135,org.apache.commons.csv.Lexer.isClosed(),3,61,True,False,False,59,False,False,9,4
136,org.apache.commons.csv.Lexer.isWhitespace(int),3,387,False,False,True,13,False,False,-1,-1
137,org.apache.commons.csv.Lexer.isStartOfLine(int),3,50,True,False,False,1804,False,False,29,16
138,org.apache.commons.csv.Lexer.isEndOfFile(int),3,44,True,False,False,42,False,False,6,4
139,org.apache.commons.csv.Lexer.isDelimiter(int),3,44,True,False,False,45,False,False,6,4
140,org.apache.commons.csv.Lexer.isEscape(int),3,44,True,False,False,42,False,False,6,4
141,org.apache.commons.csv.Lexer.isQuoteChar(int),3,44,True,False,False,42,False,False,6,4
142,org.apache.commons.csv.Lexer.isCommentStart(int),3,44,True,False,False,41,False,False,6,4
143,org.apache.commons.csv.Lexer.isMetaChar(int),3,53,True,False,False,60,False,False,65,21
144,org.apache.commons.csv.Lexer.close(),3,57,True,False,False,50,False,False,6,5
145,org.apache.commons.csv.ExtendedBufferedReader.ExtendedBufferedReader(java.io.Reader),3,42,True,False,False,510,False,False,55,31
146,org.apache.commons.csv.ExtendedBufferedReader.read(),9,58,True,False,False,89,False,False,107,28
147,org.apache.commons.csv.ExtendedBufferedReader.getLastChar(),3,20,True,False,False,16,False,False,6,4
148,"org.apache.commons.csv.ExtendedBufferedReader.read(char[],int,int)",24,88,True,False,False,177,False,False,111,37
149,org.apache.commons.csv.ExtendedBufferedReader.readLine(),11,55,True,False,False,59,False,False,31,11
150,org.apache.commons.csv.ExtendedBufferedReader.lookAhead(),6,83,True,False,False,73,False,False,15,4
151,org.apache.commons.csv.ExtendedBufferedReader.getCurrentLineNumber(),6,33,True,False,False,4109,False,False,145,28
152,org.apache.commons.csv.ExtendedBufferedReader.getPosition(),3,20,True,False,False,16,False,False,6,4
153,org.apache.commons.csv.ExtendedBufferedReader.isClosed(),3,20,True,False,False,15,False,False,6,4
